pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage,price_per_sqm
39646824,Nhà biệt thự liền kề,Hoàng Mai,2024-05-13,72.0,16500000000.0,Khác,Khác,-1,-1,-1,-1.0,6.0,229166667.0
39501103,Nhà mặt phố,Tây Hồ,2024-05-10,245.0,88000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,9,-1.0,8.0,359183673.0
39443004,Nhà riêng,Thanh Xuân,2024-05-13,36.0,7300000000.0,Sổ đỏ/ sổ hồng,Khác,3,4,5,-1.0,-1.0,202777778.0
39737838,Nhà riêng,Hoàng Mai,2024-05-13,54.0,13000000000.0,Khác,Khác,4,4,5,-1.0,4.2,240740741.0
39589415,Nhà biệt thự liền kề,Hoàng Mai,2024-05-13,95.0,17000000000.0,Sổ đỏ/ sổ hồng,Khác,6,5,5,-1.0,5.0,178947368.0
39742598,Nhà riêng,Hai Bà Trưng,2024-05-13,87.0,19000000000.0,Khác,Khác,4,-1,-1,-1.0,-1.0,218390805.0
39840542,Nhà riêng,Bắc Từ Liêm,2024-05-13,33.0,3600000000.0,Khác,Khác,3,5,5,-1.0,-1.0,109090909.0
38303976,Nhà biệt thự liền kề,Hoàng Mai,2024-05-13,250.0,55000000000.0,Sổ đỏ/ sổ hồng,Cơ bản,7,4,3,25.0,12.5,220000000.0
39742384,Nhà riêng,Hoàng Mai,2024-05-13,48.2,8500000000.0,Sổ đỏ/ sổ hồng,Khác,4,-1,5,-1.0,3.5,176348548.0
39840532,Nhà mặt phố,Tây Hồ,2024-05-13,145.0,50000000000.0,Sổ đỏ/ sổ hồng,Khác,-1,-1,-1,-1.0,-1.0,344827586.0
35994421,Nhà biệt thự liền kề,Hà Đông,2024-05-13,168.0,48000000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,9,5,6,21.0,26.0,285714286.0
39732965,Nhà mặt phố,Hoàn Kiếm,2024-05-13,160.0,51680000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,4,4,4,20.0,-1.0,323000000.0
39840292,Nhà riêng,Đống Đa,2024-05-13,50.0,12800000000.0,Sổ đỏ/ sổ hồng,Đầy đủ,5,4,5,-1.0,4.5,256000000.0
38779097,Nhà mặt phố,Long Biên,2024-05-13,35.0,6700000000.0,Sổ đỏ/ sổ hồng,Cơ bản,2,2,-1,25.0,3.8,191428571.0
39840435,Nhà mặt phố,Hà Đông,2024-05-13,93.0,17000000000.0,Sổ đỏ/ sổ hồng,Khác,4,4,5,18.0,5.0,182795699.0
39686353,Nhà riêng,Quốc Oai,2024-05-08,65.0,2550000000.0,Sổ đỏ/ sổ hồng,Cơ bản,3,3,3,3.0,3.9,39230769.0
39803477,Nhà mặt phố,Hà Đông,2024-05-09,35.0,9200000000.0,Sổ đỏ/ sổ hồng,Khác,3,4,5,20.0,4.0,262857143.0
38417136,Nhà riêng,Đống Đa,2024-05-06,48.0,12780000000.0,Sổ đỏ/ sổ hồng,Khác,3,3,5,4.5,4.0,266250000.0
