pr_id,type_estate,district,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
38835702,Nhà riêng,Hai Bà Trưng,15/05/2024,60 m²,"16,5 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,,,,,
39823188,Nhà riêng,Thanh Xuân,11/05/2024,28 m²,"4,89 tỷ","Sổ đỏ chính chủ nở hậu, sẵn sàng giao dịch ngay.",Đầy đủ,3 phòng,4 phòng,5 tầng,3 m,"3,3 m"
38976188,Nhà riêng,Ba Đình,15/05/2024,40 m²,"9,5 tỷ",Sổ đỏ/ Sổ hồng,Không nội thất,,,7 tầng,,
39858336,Nhà mặt phố,Ba Đình,15/05/2024,24 m²,"6,5 tỷ",Sổ đỏ,,,,5 tầng,,"3,2 m"
39811393,Nhà biệt thự liền kề,Long Biên,10/05/2024,"137,4 m²",35 tỷ,Sổ đỏ/ Sổ hồng,,,,4 tầng,40 m,8 m
33536811,Nhà riêng,Hà Đông,15/05/2024,50 m²,"10,8 tỷ","* Pháp lý rõ ràng không tranh chấp, chứng thực đầy đủ, sổ đỏ chính chủ chuyển nhượng ngay. Đất sạch, mặt tiền rộng thoáng rộng đắc địa tài lộc, không lỗi phong thủy.",Toàn bộ nội thất xịn cao cấp,4 phòng,4 phòng,6 tầng,20 m,4 m
39733049,Nhà riêng,Cầu Giấy,15/05/2024,60 m²,"12,8 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,18 phòng,18 phòng,7 tầng,"2,5 m","5,2 m"
39857810,Nhà mặt phố,Bắc Từ Liêm,15/05/2024,48 m²,"10,9 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,2 phòng,5 tầng,,"3,5 m"
39799991,Nhà riêng,Ba Đình,09/05/2024,70 m²,"9,5 tỷ",Sổ đỏ/ Sổ hồng,,7 phòng,7 phòng,4 tầng,3 m,"6,5 m"
39858589,Nhà riêng,Ba Đình,15/05/2024,38 m²,"5,6 tỷ",Sổ đỏ/ Sổ hồng,Cơ bản,3 phòng,4 phòng,5 tầng,,
22082370,Nhà mặt phố,Hà Đông,11/05/2024,55 m²,"14,5 tỷ",Sổ đỏ/ Sổ hồng,"Gần các trường đại học như Phenikaa, Y Tế Hà Đông,HVCN Bưu Chính Viễn Thông, ĐH Kiến Trúc,ĐH Hà Nội,HVAN nên Kinh doanh cafe, nhà hàng, quán ăn, spa, quán nhậu, làm tòa nhà văn phòng công ty cực tốt..",4 phòng,5 phòng,5 tầng,12 m,4 m
39625267,Nhà biệt thự liền kề,Gia Lâm,18/04/2024,87 m²,16 tỷ,Sổ đỏ/ Sổ hồng.,Đầy đủ.,4 phòng,6 phòng,5 tầng,13 m,6 m
39857885,Nhà mặt phố,Thanh Xuân,15/05/2024,100 m²,92 tỷ,Sổ đỏ/ Sổ hồng,,,,,20 m,
39732580,Nhà biệt thự liền kề,Hà Đông,15/05/2024,80 m²,"14,5 tỷ",Sổ đỏ,,,,,13 m,
39732391,Nhà mặt phố,Thanh Xuân,15/05/2024,100 m²,33 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,4 tầng,24 m,9 m
39651467,Nhà riêng,Cầu Giấy,14/05/2024,90 m²,22 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,25 phòng,25 phòng,6 tầng,3 m,13 m
39836021,Nhà riêng,Thanh Xuân,13/05/2024,18 m²,"3,7 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,3 phòng,3 phòng,5 tầng,,4 m
39462586,Nhà mặt phố,Hoàn Kiếm,09/05/2024,75 m²,24 tỷ,Sổ đỏ,,,,5 tầng,,
39834248,Nhà riêng,Sóc Sơn,13/05/2024,"243,8 m²","2,37 tỷ",,Cơ bản,2 phòng,1 phòng,1 tầng,"3,3 m","9,5 m"
39858706,Nhà riêng,Nam Từ Liêm,15/05/2024,110 m²,28 tỷ,"Sổ đỏ cất két, giao dịch ngay.",,10 phòng,,8 tầng,,
39858311,Nhà biệt thự liền kề,Hà Đông,15/05/2024,180 m²,160 triệu/m²,,,,,3 tầng,,
39498973,Nhà mặt phố,Đống Đa,14/05/2024,130 m²,47 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,5 phòng,5 tầng,10 m,"6,5 m"
39428061,Nhà riêng,Long Biên,15/05/2024,45 m²,"5,35 tỷ",Sổ đỏ/ Sổ hồng.,Đầy đủ.,4 phòng,4 phòng,5 tầng,"3,5 m","3,6 m"
39858073,Nhà riêng,Bắc Từ Liêm,15/05/2024,42 m²,"12,6 tỷ",Sổ đỏ/ Sổ hồng,,4 phòng,3 phòng,4 tầng,14 m,4 m
39144737,Nhà riêng,Long Biên,15/05/2024,48 m²,"7,25 tỷ",Đã có sổ đỏ,Đầy đủ.,4 phòng,4 phòng,5 tầng,4 m,4 m
39858677,Nhà mặt phố,Hai Bà Trưng,15/05/2024,32 m²,"18,9 tỷ",Sổ đỏ/ Sổ hồng,,,,,,"6,2 m"
39858666,Nhà riêng,Đống Đa,15/05/2024,33 m²,"4,98 tỷ",Sổ đỏ,Đầy đủ,3 phòng,4 phòng,5 tầng,,"3,5 m"
38836266,Nhà biệt thự liền kề,Hoàng Mai,15/05/2024,238 m²,"37,95 tỷ",,,,,5 tầng,,
39788540,Nhà riêng,Tây Hồ,08/05/2024,74 m²,29 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,5 phòng,4 phòng,5 tầng,6 m,5 m
39858098,Nhà riêng,Thanh Trì,15/05/2024,50 m²,"5,5 tỷ",Sổ đỏ/ Sổ hồng,,3 phòng,4 phòng,5 tầng,,
23166418,Nhà biệt thự liền kề,Hà Đông,08/05/2024,200 m²,66 tỷ,"Sổ đỏ chính chủ riêng biệt, không tranh chấp.",Nội thất cực đẹp và sang trọng tôi để lại hết. Hoặc có thể lấy nhà không để làm mặt bằng Kinh doanh lớn.,6 phòng,5 phòng,4 tầng,30 m,10 m
39552061,Nhà riêng,Thanh Xuân,15/05/2024,64 m²,"9,58 tỷ",Sổ đỏ/ Sổ hồng,,6 phòng,5 phòng,5 tầng,,"3,9 m"
37963268,Nhà biệt thự liền kề,Nam Từ Liêm,15/05/2024,150 m²,61 tỷ,Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,4 tầng,,
39748200,Nhà biệt thự liền kề,Hoài Đức,15/05/2024,123 m²,19 tỷ,Sổ đỏ/ Sổ hồng.,"Nội thất đầy đủ, hiện đại.",4 phòng,4 phòng,4 tầng,,
39827950,Nhà riêng,Thanh Xuân,12/05/2024,35 m²,"7,6 tỷ",Sổ đỏ/ Sổ hồng,Đầy đủ,4 phòng,4 phòng,6 tầng,15 m,4 m
