Unnamed: 0,type_estate,district,price_per_sqm,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
174,5,10,"~163,79 triệu/m²",13/05/2024,58.0,"9,5 tỷ",182,178,6,5,6,10.0,4.0
177,3,11,"~162,5 triệu/m²",13/05/2024,120.0,"19,5 tỷ",252,294,5,6,4,13.5,6.0
179,4,7,"~437,5 triệu/m²",12/05/2024,40.0,"17,5 tỷ",252,146,6,6,5,12.181061122472167,5.0
180,5,11,"~83,76 triệu/m²",13/05/2024,38.8,"3,25 tỷ",178,42,4,3,4,4.0,3.5
181,4,7,"~586,67 triệu/m²",13/05/2024,150.0,88 tỷ,139,146,6,6,4,12.181061122472167,6.5
182,5,27,"~306,82 triệu/m²",10/05/2024,44.0,"13,5 tỷ",252,294,4,4,5,4.0,5.2
183,3,22,"~123,46 triệu/m²",13/05/2024,81.0,10 tỷ,252,146,6,6,5,12.181061122472167,6.78865638058502
184,3,13,"~9,46 tỷ",13/05/2024,364.0,26 triệu/m²,252,146,6,6,4,15.5,25.0
185,5,14,"~123,96 triệu/m²",13/05/2024,48.0,"5,95 tỷ",139,146,6,6,4,12.181061122472167,6.78865638058502
186,3,23,"~34,07 triệu/m²",01/05/2024,270.0,"9,2 tỷ",252,24,4,3,3,22.0,16.0
187,5,12,"~133,93 triệu/m²",13/05/2024,33.6,"4,5 tỷ",252,114,1,1,2,5.0,3.0
188,5,27,"~161,82 triệu/m²",13/05/2024,55.0,"8,9 tỷ",252,294,6,6,4,12.181061122472167,8.0
189,3,11,"~168,75 triệu/m²",13/05/2024,80.0,"13,5 tỷ",252,146,5,5,4,13.5,6.78865638058502
190,5,24,"~107,96 triệu/m²",13/05/2024,88.0,"9,5 tỷ",252,294,4,3,3,2.0,4.0
192,5,12,"~202,58 triệu/m²",10/05/2024,41.0,"8,31 tỷ",252,294,5,4,7,4.0,5.0
193,3,11,"~438,89 triệu/m²",13/05/2024,180.0,79 tỷ,252,294,4,3,3,15.0,10.0
194,5,4,,13/05/2024,50.0,Thỏa thuận,139,146,5,5,5,6.0,5.5
